p,q,AIC,BIC
0,0,7741.520319674862,7753.180375839929
0,1,7703.023111593997,7720.513195841599
0,2,7690.024971053931,7713.345083384066
0,3,7688.960670523778,7718.110810936448
0,4,7686.4758638771455,7721.456032372348
1,0,7697.480293073674,7714.970377321276
1,1,7692.910477742561,7716.230590072696
1,2,7690.680016139708,7719.830156552377
1,3,7688.325684950033,7723.305853445236
1,4,7632.816338685541,7673.626535263278
2,0,7689.895924167773,7713.216036497908
2,1,7691.896288797335,7721.046429210004
2,2,7583.458518615425,7618.438687110628
2,3,7688.951384179649,7729.761580757386
2,4,7586.131933769093,7632.772158429364
3,0,7691.895589099176,7721.045729511845
3,1,7691.678085662195,7726.658254157398
3,2,7584.97310266109,7625.783299238827
3,3,7581.058935827434,7627.699160487705
3,4,7584.667363067113,7637.137615809917
4,0,7681.968698096124,7716.948866591327
4,1,7613.175297948423,7653.9854945261595
4,2,7586.374873895002,7633.015098555273
4,3,7587.750233225524,7640.220485968329
4,4,7684.092699520807,7742.392980346146
